guid,rd_id
https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR11462381,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR11462381
https://doi.org/10.6084/m9.figshare.11665131.v1,https://doi.org/10.6084/m9.figshare.11665131.v1
https://doi.org/10.1371/journal.pmed.1003074,https://figshare.com/articles/dataset/Association_of_suicidal_behavior_with_exposure_to_suicide_and_suicide_attempt_A_systematic_review_and_multilevel_meta-analysis/12054234?file=22151703
https://doi.org/10.1371/journal.pone.0226443,https://figshare.com/articles/dataset/Attitudes_towards_animal_study_registries_and_their_characteristics_An_online_survey_of_three_cohorts_of_animal_researchers/11528676?file=20702688
https://doi.org/10.1371/journal.pone.0228538,https://figshare.com/articles/dataset/_Wonderful_We_ve_just_missed_the_bus__Parental_use_of_irony_and_children_s_irony_comprehension/11884272
https://doi.org/10.1371/journal.pone.0228736,https://figshare.com/articles/dataset/Prognostic_value_of_the_myocardial_salvage_index_measured_by_T2-weighted_and_T1-weighted_late_gadolinium_enhancement_magnetic_resonance_imaging_after_ST-segment_elevation_myocardial_infarction_A_systematic_review_and_meta-regression_analysi/11851431?file=21722040
https://doi.org/10.1371/journal.pone.0241480.s001,https://figshare.com/articles/dataset/S1_Dataset_-/13177655
https://osf.io/48fhe,https://osf.io/48fhe
https://github.com/ahmedaak/BD_scan-shortening,https://github.com/ahmedaak/BD_scan-shortening
https://doi.org/10.5061/dryad.gt160v2,https://doi.org/10.5061/dryad.gt160v2
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE151285,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE151285
https://doi.org/10.6084/m9.figshare.12607277.v1,https://doi.org/10.6084/m9.figshare.12607277.v1
https://dcc.icgc.org/releases/PCAWG/consensus_snv_indel,https://dcc.icgc.org/releases/PCAWG/consensus_snv_indel
https://doi.org/10.6084/m9.figshare.c.4869732,https://doi.org/10.6084/m9.figshare.c.4869732
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124719,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124719
https://doi.org/10.17605/OSF.IO/W6DF5,https://doi.org/10.17605/OSF.IO/W6DF5
https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR11104128,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR11104128
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160097,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160097
https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7680/,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7680/
https://github.com/pramosdelgado/B1correction-toolkit,https://github.com/pramosdelgado/B1correction-toolkit
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70678,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70678
https://osf.io/qak8e/,https://osf.io/cq3s9/
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129978,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129978
https://cptac-data-portal.georgetown.edu/study-summary/S060,https://cptac-data-portal.georgetown.edu/study-summary/S060
https://doi.org/10.25534/tudatalib-158,https://doi.org/10.25534/tudatalib-158
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE147259,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE147259
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134131,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134131
